seq,ff,Thread,OMP
248549028,182996024,133369950,127840973
248549028,122156275,92738189,85410893
248549028,110763328,84354228,82828308
248549028,113955273,83531571,83541550
248549028,120290798,85532049,86073702
248549028,122056659,88427584,89102841
248549028,120429219,92572793,91298535
248549028,135135659,98934807,94125641
248549028,131977186,99585780,97841474
248549028,138660110,104608539,101439353
248549028,134701595,108815736,105338588
248549028,140060578,115628546,108245221
248549028,137734527,120989440,112247433
248549028,141773587,124715869,115866510
248549028,142792238,131174686,119601998